id,variable,dimension,strict_2000_2023_status,modern_longitudinal_status,canonical_analysis_role
P01,Committee Service,Associational-Civic,CANDIDATE_ROPER_2000_2002_PENDING_FILE_INSPECTION,CPS_COMBINED_PROXY_NON_EQUIVALENT,"strict anchor if verified; modern proxy robustness only"
P02,Officer Service,Associational-Civic,CANDIDATE_ROPER_2000_2002_PENDING_FILE_INSPECTION,CPS_COMBINED_PROXY_NON_EQUIVALENT,"strict anchor if verified; modern proxy robustness only"
P03,Civic & Social Organization Density,Associational-Civic,COMPATIBLE_PENDING_ORIGINAL_NUMERATOR_LINEAGE,STRONG_CBP_813410_ANNUAL_2000_2023,"modern annual core candidate; strict status pending source equivalence"
P04,Club Meetings,Associational-Civic,NO_VERIFIED_POST_1998,BINARY_MEETING_PROXY_NON_EQUIVALENT,"strict missing; proxy robustness only"
P05,Group Membership,Associational-Civic,DIRECT_COUNT_NOT_YET_VERIFIED,LEGACY_RATE_NONCANONICAL,"rebuild if exact count found"
P06,Presidential Turnout,Civic-Political,COMPATIBLE_PRESIDENTIAL_WAVES,OFFICIAL_ELECTION_RETURNS,"strict/modern anchor; preserve election-wave timing"
P07,Public Meeting Attendance,Civic-Political,CANDIDATE_ROPER_2000_2002_PENDING_FILE_INSPECTION,CPS_BROADER_PROXY_NON_EQUIVALENT,"strict anchor if verified; proxy robustness only"
P08,Nonprofit Organization Density,Associational-Civic,COMPATIBLE_IRS_EO_BMF,STRONG_ADMINISTRATIVE_SERIES_WITH_GAPS,"core anchor with documented gaps"
P09,Community Project,Associational-Civic,NO_VERIFIED_DIRECT_COUNT_POST_1998,CPS_RATE_NON_EQUIVALENT,"strict missing; robustness only"
P10,Volunteer Work,Associational-Civic,NO_VERIFIED_DIRECT_COUNT_POST_1998,CPS_FREQUENCY_HOURS_NON_EQUIVALENT,"strict missing; robustness only"
P11,Visiting Friends,Informal-Sociability,NO_VERIFIED_EXACT_POST_1998,CPS_CONTACT_FREQUENCY_NON_EQUIVALENT,"strict missing; robustness only"
P12,Entertain at Home,Informal-Sociability,NO_VERIFIED_POST_1998,NO_ACCEPTED_ANNUAL_EQUIVALENT,"strict missing"
P13,Generalized Trust,Trust-Normative,EXACT_CONSTRUCT_GSS_STATE_GEOGRAPHY_RESTRICTED,NATIONAL_GSS_AVAILABLE_STATE_PANEL_RESTRICTED,"national validation/strict construct; state panel pending lawful geography"
P14,Perceived Honesty,Trust-Normative,NO_VERIFIED_POST_1998,NO_ACCEPTED_ANNUAL_EQUIVALENT,"strict missing"
