block,id,measure,preferred_source,2000_2023_status,canonical_status,next_action
Democracy,D1,State democratic performance,Berkeley State Democracy Index 2.0,AVAILABLE_FULL_PERIOD_50_STATES_2000_2023,PRIMARY_DV,"official SDI_2.0.csv endpoint verified; acquire and validate 1200 state-year keys; retain democracy_mcmc plus uncertainty and democracy_additive robustness"
Democracy,D2,Independent national democracy,V-Dem,AVAILABLE_NATIONAL,EXTERNAL_VALIDATION,"select defensible national democracy indicators/index; document version"
Economy,E1,Real GDP per capita / growth,BEA GDP by State,AVAILABLE_FULL_PERIOD,READY_FOR_ACQUISITION,"collect 2000-2023 state annual real GDP; merge population denominator if needed"
Economy,E2a,RPP-adjusted real per-capita personal income,BEA Real Personal Income / RPP,VERIFIED_2008_2023_CURRENT_RELEASE,PARTIAL_PERIOD_ROBUSTNESS,"acquire current official series; do not extrapolate to 2000-2007"\nEconomy,E2b,Long-run real per-capita personal income,BEA PCPI plus common national deflator,DESIGNED_2000_2023_PENDING_RAW_VALIDATION,CANONICAL_FULL_PERIOD_CANDIDATE,"acquire one BEA PCPI vintage and one common national deflator; document lack of cross-state cost-of-living adjustment"
Economy,E3a,Unemployment rate,BLS LAUS / Geographic Profile,AVAILABLE_FULL_PERIOD_1976_PRESENT,READY_FOR_ACQUISITION,"collect annual state averages 2000-2023 from official annual state series"
Economy,E3b,Employment-population ratio,BLS Geographic Profile,AVAILABLE_FULL_PERIOD_1976_PRESENT,READY_FOR_ACQUISITION,"collect annual state averages 2000-2023 from official annual state series"
Economy,E4,Income inequality Gini,Census ACS B19083,PARTIAL_PERIOD,BRIDGE_REQUIRED,"map first comparable state annual year; do not backfill 2000-early ACS gap; investigate historical Census/CPS alternatives separately"
Economy,E5,Industry structure / manufacturing share,BEA GDP by industry or BLS,LIKELY_FULL_PERIOD,VERIFY_SERIES_CONTINUITY,"choose stable numerator/denominator and industry classification across 2000-2023"
SocialCapital,P01,Committee Service,Roper SPT updated cumulative 1973-2002,CANDIDATE_2000_2002,CANDIDATE_STRICT_ANCHOR,"inspect Roper.sav exact item/state/weight"
SocialCapital,P02,Officer Service,Roper SPT updated cumulative 1973-2002,CANDIDATE_2000_2002,CANDIDATE_STRICT_ANCHOR,"inspect Roper.sav exact item/state/weight"
SocialCapital,P03,Civic & Social Organization Density,Census CBP NAICS 813410,LIKELY_FULL_PERIOD,COMPATIBLE_PENDING_VALIDATION,"verify original Putnam numerator continuity; execute density collection"
SocialCapital,P04,Club Meetings,DDB Needham Life Style,NO_VERIFIED_POST_1998,STRICT_MISSING,"continue original-family archive search; modern proxy robustness only"
SocialCapital,P05,Group Membership,GSS/original Putnam construction,IRREGULAR_OR_GEOGRAPHY_RESTRICTED,REBUILD_REQUIRED,"verify direct count item waves and lawful state geography"
SocialCapital,P06,Presidential Turnout,official election returns / UF Election Lab,PRESIDENTIAL_YEARS_ONLY,COMPATIBLE,"retain natural election-wave timing; no annual interpolation"
SocialCapital,P07,Public Meeting Attendance,Roper SPT updated cumulative 1973-2002,CANDIDATE_2000_2002,CANDIDATE_STRICT_ANCHOR,"inspect exact town/school affairs item in Roper.sav"
SocialCapital,P08,501c3 nonprofit density,IRS EO BMF,2000_2023_WITH_KNOWN_GAPS,COMPATIBLE,"preserve 2017/2021 missing unless source recovered"
SocialCapital,P09,Community Project,DDB Needham Life Style,NO_VERIFIED_POST_1998,STRICT_MISSING,"do not use CPS participation-rate proxy as canonical"
SocialCapital,P10,Volunteer Work,DDB Needham Life Style,NO_VERIFIED_DIRECT_COUNT_POST_1998,STRICT_MISSING,"do not convert frequency categories to event counts"
SocialCapital,P11,Visiting Friends,DDB Needham Life Style,NO_VERIFIED_POST_1998,STRICT_MISSING,"CPS contact-frequency proxy robustness only"
SocialCapital,P12,Entertain at Home,DDB Needham Life Style,NO_VERIFIED_POST_1998,STRICT_MISSING,"continue original-family archive search"
SocialCapital,P13,Generalized Trust,GSS,EXACT_CONSTRUCT_STATE_RESTRICTED,STRICT_DATA_RESTRICTED,"investigate lawful restricted geography/access; national series can be used separately"
SocialCapital,P14,Perceived Honesty,DDB/Market Facts,NO_VERIFIED_POST_1998,STRICT_MISSING,"continue original-family archive search; no trust substitution"
