variable_id,canonical_variable,status,canonical_handling,source_family
P01,Committee Service,COMBINED_PROXY_VERIFIED,"P01/P02 combined proxy only; P01 remains separately missing","CPS Civic Engagement"
P02,Officer Service,COMBINED_PROXY_VERIFIED,"P01/P02 combined proxy only; P02 remains separately missing","CPS Civic Engagement"
P03,Civic & Social Organization Density,COLLECTOR_BUILT_NOT_EXECUTED,"Annual administrative replication; 50 states x 2000-2023 target","Census CBP NAICS 813410 + Census population"
P04,Club Meetings,PROXY_2008_ONLY,"2008 CPS PEQ7 verified; other target CPS waves missing unless new bridge found","CPS Civic Engagement"
P05,Group Membership,ACQUIRED,"Actual survey waves only; non-wave missing","CPS"
P06,Presidential Turnout,ACQUIRED,"Presidential election years only; non-election years missing","Official election/turnout source in project"
P07,Public Meeting Attendance,ACQUIRED,"Actual survey waves only; do not substitute for P04","CPS"
P08,Nonprofit Organization Density,ACQUIRED_WITH_GAPS,"2000-2016, 2018-2020, 2022-2023 secured; 2017 and 2021 missing","IRS EO BMF"
P09,Community Project,ACQUIRED,"Actual survey waves only; non-wave missing","CPS"
P10,Volunteer Work,ACQUIRED,"Actual survey waves only; non-wave missing","CPS"
P11,Visiting Friends,PROXY_WAVES_VERIFIED,"2011,2013,2017,2019,2021,2023; preserve wording/universe bridge","CPS Civic Engagement / Volunteering and Civic Life"
P12,Entertain at Home,HISTORICAL_ANCHOR_ONLY,"DDB original historical anchor; canonical 2000-2023 cells missing pending equivalent source","DDB Needham Life Style"
P13,Generalized Trust,CONCEPT_EXACT_STATE_RESTRICTED,"GSS exact construct but state geography restricted; SCCBS 2000 validation bridge only","GSS / 2000 SCCBS"
P14,Perceived Honesty,HISTORICAL_ANCHOR_ONLY,"DDB honesty is distinct from generalized trust; canonical cells missing pending equivalent source","DDB Needham / Market Facts"
